,-2,-1,55,56,58,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,87,88,89,92,94
-2,0.6714438,1,0.027777778,1,1,1,0.979166667,1,0.918918919,0.875,0.895652174,0.926829268,1,0.959183673,1,0.930232558,1,0.927710843,0.938461538,0.8,0.822580645,0.791666667,0.910994764,0.839285714,0.8,0.898734177,0.027777778,0.693877551,1,0.93877551,1,1,0.027777778,1,0.027777778,0.027777778
-1,0.026293971,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0.020408163,0,0,0.027777778,0,0.027777778,0.027777778
55,0.000236883,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
56,0.001421296,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
58,0.001658178,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
60,0.003434798,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
61,0.007343361,0,0.027777778,0,0,0,0,0,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
62,0.000236883,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
63,0.006869596,0,0.027777778,0,0,0,0,0,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
64,0.001302854,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
65,0.025464882,0,0.027777778,0,0,0,0,0,0.027027027,0,0.026086957,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
66,0.004974535,0,0.027777778,0,0,0,0,0,0,0,0.034782609,0,0,0.008163265,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
67,0.002013502,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
68,0.047376525,0,0.027777778,0,0,0,0,0,0,0.125,0.026086957,0.048780488,0,0.020408163,0,0.069767442,0,0.024096386,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
69,0.001065972,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
70,0.013383868,0,0.027777778,0,0,0,0,0,0,0,0.017391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
71,0.001895061,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0.004081633,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
72,0.022030084,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024096386,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
73,0.030320976,0,0.027777778,0,0,0,0.020833333,0,0,0,0,0,0,0.008163265,0,0,0,0.024096386,0.005128205,0,0.024193548,0.041666667,0.005235602,0,0,0.012658228,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
74,0.001421296,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
75,0.021556319,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035897436,0.1,0.096774194,0.083333333,0.036649215,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
76,0.003197915,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0.1,0.016129032,0,0.010471204,0.017857143,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
77,0.044060168,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01025641,0,0.040322581,0.083333333,0.010471204,0.107142857,0,0.012658228,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
78,0.007461803,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0,0,0,0.015706806,0,0,0.012658228,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
79,0.002131944,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
80,0.034940187,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010471204,0.035714286,0.2,0.056962025,0.027777778,0,0,0.020408163,0,0,0.027777778,0,0.027777778,0.027777778
81,0.000355324,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
82,0.005211418,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
83,0.001539737,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0.081632653,0,0,0,0,0.027777778,0,0.027777778,0.027777778
84,0.00627739,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0.224489796,0,0.020408163,0,0,0.027777778,0,0.027777778,0.027777778
85,0.001421296,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006329114,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
87,0.000355324,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
88,0.000118441,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
89,0.00094753,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
92,0.000118441,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
94,0.000118441,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.027777778,0,0.027777778,0.027777778
